,fQ,EC,EJ,alpha,dispersion,gbus,chi_in_MHz,cut_l,cut_h,gap,w,l,r,cpw_l,jj_gap,jj_contact_size,coupling_gap,JJ_cutout_w,JJ_cutout_h,JJ_cutout_r,JJ_c_contact_l,JJ_c_contact_r,JJ_c_contact_w,coupling_d,coupling_pad_w,coupling_stub_w,coupling_r,cpw_pin,chip,resolution,junction,orientation,JJ_c_contact_shortl,istunnel,layer,coupling_arm,jj_taper_r,Lj [nH],g_alex [MHz],Ec_alex [MHz],Ej_alex [GHz],wr_alex [GHz],Chi [MHz],Purcell T1 [us],target kappa [MHz],Purcell T1 qiskit [us],target kappa qiskit [MHz]
0,5.087396637811832,264.3043867935435,13.616300010297985,-302.7797405725311,8.007745844841004,69.23766451132086,-2.641534685913023,1.4000000000000001,1.2,0.07,0.4,0.45,0.2,0.1,0.003,0.003,0.02,0.07,0.07,0.15,0.04,0.0025,0.01,0.08,0.1,0.09,0.04,0.015,main,10.0,False,0.0,0.01,False,5.0,False,0.03,13.676453476080171,67.25537288528768,264.30440348656276,11.952039546851227,5.0271078626807455,0.01177514652105189,222617.20409785313,0.02355029304210378,992.3588020019081,0.02355029304210378
1,5.040042219052515,259.1081021295477,13.616300010297985,-296.32679884768766,6.583901623725891,69.11401268525225,-2.3712993327725385,1.4000000000000001,1.2,0.07,0.4,0.46,0.2,0.1,0.003,0.003,0.02,0.07,0.07,0.15,0.04,0.0025,0.01,0.08,0.1,0.09,0.04,0.015,main,10.0,False,0.0,0.01,False,5.0,False,0.03,13.676453476080171,67.13852662060285,259.1081184943785,11.952039546851227,4.977445512834892,0.011733125513403435,224214.62168330463,0.02346625102680687,1109.4079358908289,0.02346625102680687
2,4.995567985620385,254.2809297590642,13.616300010297985,-290.3491737254597,5.459287305831909,68.56726815160675,-2.122459194881708,1.4000000000000001,1.2,0.07,0.4,0.47000000000000003,0.2,0.1,0.003,0.003,0.02,0.07,0.07,0.15,0.04,0.0025,0.01,0.08,0.1,0.09,0.04,0.015,main,10.0,False,0.0,0.01,False,5.0,False,0.03,13.676453476080171,66.60903867121996,254.2809458190189,11.952039546851227,4.930862740283609,0.011548223837740693,231452.02106785701,0.023096447675481385,1259.3220889403508,0.023096447675481385
3,4.952617128405436,249.6676990342727,13.616300010297985,-284.6517032663575,4.541149288177491,68.09540935815271,-1.914756059686229,1.4000000000000001,1.2,0.07,0.4,0.48,0.2,0.1,0.003,0.003,0.02,0.07,0.07,0.15,0.04,0.0025,0.01,0.08,0.1,0.09,0.04,0.015,main,10.0,False,0.0,0.01,False,5.0,False,0.03,13.676453476080171,66.15245814460168,249.6677148028635,11.952039546851227,4.885929513118909,0.011389828104802949,237934.28407182175,0.022779656209605897,1415.3398716813547,0.022779656209605897
4,4.909477583902328,245.0820836953501,13.616300010297985,-279.00306743268686,3.7619526414871216,67.73539837400385,-1.7362920303712177,1.4000000000000001,1.2,0.07,0.4,0.49,0.2,0.1,0.003,0.003,0.02,0.07,0.07,0.15,0.04,0.0025,0.01,0.08,0.1,0.09,0.04,0.015,main,10.0,False,0.0,0.01,False,5.0,False,0.03,13.676453476080171,65.80495217905359,245.08209917432117,11.952039546851227,4.840851942835518,0.01126971357803282,243033.20084534097,0.02253942715606564,1577.4504032561501,0.02253942715606564
5,4.869348537433663,240.85939866282848,13.616300010297985,-273.8144701379096,3.148074559211731,67.30247172124477,-1.5836374926686365,1.4000000000000001,1.2,0.07,0.4,0.5,0.2,0.1,0.003,0.003,0.02,0.07,0.07,0.15,0.04,0.0025,0.01,0.08,0.1,0.09,0.04,0.015,main,10.0,False,0.0,0.01,False,5.0,False,0.03,13.676453476080171,65.38610427398322,240.8594138751019,11.952039546851227,4.798967588860442,0.011126114582278048,249347.09183749562,0.022252229164556096,1751.8304077701425,0.022252229164556096
6,4.828601521517346,236.61386591272955,13.616300010297985,-268.6103312422636,2.619080825805664,66.85025292932129,-1.4442709680572507,1.4000000000000001,1.2,0.07,0.4,0.51,0.2,0.1,0.003,0.003,0.02,0.07,0.07,0.15,0.04,0.0025,0.01,0.08,0.1,0.09,0.04,0.015,main,10.0,False,0.0,0.01,False,5.0,False,0.03,13.676453476080171,64.94851546498839,236.61388085686232,11.952039546851227,4.756484803999831,0.010977099714127286,256162.84927211408,0.02195419942825457,1946.9512312481036,0.02195419942825457
7,4.789319260602819,232.5610484372688,13.616300010297985,-263.6541384102063,2.1868445653915405,66.41925424078921,-1.3237309416664162,1.4000000000000001,1.2,0.07,0.4,0.52,0.2,0.1,0.003,0.003,0.02,0.07,0.07,0.15,0.04,0.0025,0.01,0.08,0.1,0.09,0.04,0.015,main,10.0,False,0.0,0.01,False,5.0,False,0.03,13.676453476080171,64.5315126040986,232.56106312543238,11.952039546851227,4.715573367922872,0.010836012310913436,262876.87553262693,0.021672024621826873,2151.9003370428454,0.021672024621826873
8,4.752320871160494,228.77973977815327,13.616300010297985,-259.0402909401675,1.840088930130005,65.96033664355417,-1.2190015264066856,1.4000000000000001,1.2,0.07,0.4,0.53,0.2,0.1,0.003,0.003,0.02,0.07,0.07,0.15,0.04,0.0025,0.01,0.08,0.1,0.09,0.04,0.015,main,10.0,False,0.0,0.01,False,5.0,False,0.03,13.676453476080171,64.0871031103224,228.77975422749574,11.952039546851227,4.677080003631269,0.010686788802884964,270269.4203931168,0.02137357760576993,2369.408202574937,0.02137357760576993
9,4.714464762146702,224.94667676195502,13.616300010297985,-254.37345724497297,1.5377477426528932,65.45139122892265,-1.1203784040428149,1.4000000000000001,1.2,0.07,0.4,0.54,0.2,0.1,0.003,0.003,0.02,0.07,0.07,0.15,0.04,0.0025,0.01,0.08,0.1,0.09,0.04,0.015,main,10.0,False,0.0,0.01,False,5.0,False,0.03,13.676453476080171,63.5939823929712,224.94669096920782,11.952039546851227,4.637733710680072,0.01052250799445925,278774.3648637933,0.0210450159889185,2618.227442036152,0.0210450159889185
10,4.677271885285112,221.21602485565973,13.616300010297985,-249.84113650362497,1.2854339952468872,65.00914477374336,-1.0341927084269613,1.4000000000000001,1.2,0.07,0.4,0.55,0.2,0.1,0.003,0.003,0.02,0.07,0.07,0.15,0.04,0.0025,0.01,0.08,0.1,0.09,0.04,0.015,main,10.0,False,0.0,0.01,False,5.0,False,0.03,13.676453476080171,63.165822638695225,221.2160388272908,11.952039546851227,4.599115431873008,0.01038078999313179,286437.94768246356,0.02076157998626358,2875.1432462505345,0.02076157998626358
11,4.642212358489006,217.73125620602133,13.616300010297985,-245.61629218562342,1.0827302055358887,64.47473372911195,-0.9564317172524943,1.4000000000000001,1.2,0.07,0.4,0.56,0.2,0.1,0.003,0.003,0.02,0.07,0.07,0.15,0.04,0.0025,0.01,0.08,0.1,0.09,0.04,0.015,main,10.0,False,0.0,0.01,False,5.0,False,0.03,13.676453476080171,62.64762124755117,217.7312699575603,11.952039546851227,4.5627471980103405,0.010210819856142743,296053.45605465636,0.020421639712285486,3160.652718885651,0.020421639712285486
12,4.607648132922452,214.32592918661214,13.616300010297985,-241.49593343130002,0.9118368062973022,64.08963789424207,-0.8901187973801483,1.4000000000000001,1.2,0.07,0.4,0.5700000000000001,0.2,0.1,0.003,0.003,0.02,0.07,0.07,0.15,0.04,0.0025,0.01,0.08,0.1,0.09,0.04,0.015,main,10.0,False,0.0,0.01,False,5.0,False,0.03,13.676453476080171,62.27499921705286,214.32594272307637,11.952039546851227,4.5269257942602765,0.010089209390147643,303233.44012475776,0.020178418780295287,3437.0532119061513,0.020178418780295287
13,4.573849452915731,211.02494774259762,13.616300010297985,-237.50954370530837,0.7688827857971191,63.646762016091685,-0.828630146956755,1.4000000000000001,1.2,0.07,0.4,0.58,0.2,0.1,0.003,0.003,0.02,0.07,0.07,0.15,0.04,0.0025,0.01,0.08,0.1,0.09,0.04,0.015,main,10.0,False,0.0,0.01,False,5.0,False,0.03,13.676453476080171,61.84596019517176,211.02496107057743,11.952039546851227,4.49192936728821,0.009950253104039313,311761.9489588051,0.019900506208078626,3743.660922477385,0.019900506208078626
14,4.541568817285296,207.8988536026746,13.616300010297985,-233.74135842601507,0.6517567720413208,63.1827041702819,-0.7733655239747722,1.4000000000000001,1.2,0.07,0.4,0.59,0.2,0.1,0.003,0.003,0.02,0.07,0.07,0.15,0.04,0.0025,0.01,0.08,0.1,0.09,0.04,0.015,main,10.0,False,0.0,0.01,False,5.0,False,0.03,13.676453476080171,61.39613997716713,207.8988667332156,11.952039546851227,4.458533819040467,0.00980568456774025,321022.5399183508,0.0196113691354805,4070.3207836257725,0.0196113691354805
15,4.5086254595204664,204.7353278344492,13.616300010297985,-229.93499329415553,0.5492407808303833,62.72731917382645,-0.7216118573392156,1.4000000000000001,1.2,0.07,0.4,0.6,0.2,0.1,0.003,0.003,0.02,0.07,0.07,0.15,0.04,0.0025,0.01,0.08,0.1,0.09,0.04,0.015,main,10.0,False,0.0,0.01,False,5.0,False,0.03,13.676453476080171,60.95483299093447,204.73534076518723,11.952039546851227,4.424481790640418,0.009664846349526322,330446.7277717886,0.019329692699052645,4425.809828561043,0.019329692699052645
16,4.4766592107925804,201.69139237196504,13.616300010297985,-226.2791145266093,0.46407046031951904,62.25738450045373,-0.6744697000493449,1.4000000000000001,1.2,0.07,0.4,0.61,0.2,0.1,0.003,0.003,0.02,0.07,0.07,0.15,0.04,0.0025,0.01,0.08,0.1,0.09,0.04,0.015,main,10.0,False,0.0,0.01,False,5.0,False,0.03,13.676453476080171,60.49923098495545,201.6914051104533,11.952039546851227,4.3914677729799,0.009520576408403314,340537.44876038923,0.019041152816806628,4806.906523167487,0.019041152816806628
